open,high,low,close,vol,divs,stock_splits
4327.0,4340.75,4281.75,4333.0,322070,0.0,0.0
4324.0,4330.25,4258.5,4271.75,303204,0.0,0.0
4266.0,4268.0,4118.25,4158.25,481009,0.0,0.0
4150.75,4263.75,4136.0,4260.0,340627,0.0,0.0
4260.25,4304.25,4219.75,4229.5,332566,0.0,0.0
4231.75,4237.5,4155.0,4194.0,354122,0.0,0.0
4181.75,4305.5,4180.0,4298.5,293906,0.0,0.0
4300.5,4369.5,4240.25,4255.0,354129,0.0,0.0
4259.0,4327.25,4226.5,4295.0,410492,0.0,0.0
4294.75,4330.0,4259.5,4325.25,127471,0.0,0.0
4325.25,4357.0,4292.25,4310.0,87550,0.0,0.0
4311.5,4373.5,4290.75,4361.0,0,0.0,0.0
4362.5,4393.0,4345.5,4391.5,0,0.0,0.0
4385.75,4451.5,4368.0,4380.25,0,0.0,0.0
4381.5,4392.75,4313.0,4325.25,333044,0.0,0.0
4324.75,4361.5,4286.5,4341.25,254496,0.0,0.0
4342.0,4345.0,4220.5,4267.25,320027,0.0,0.0
4264.25,4292.75,4221.5,4262.75,238547,0.0,0.0
4268.5,4278.75,4185.25,4246.0,355070,0.0,0.0
4232.0,4315.75,4185.5,4213.5,344913,0.0,0.0
4202.5,4239.0,4079.5,4094.75,360675,0.0,0.0
4106.25,4144.25,4040.75,4074.75,427261,0.0,0.0
4078.75,4169.0,4066.0,4163.0,347070,0.0,0.0
4154.0,4225.75,4116.25,4187.5,367790,0.0,0.0
4188.25,4263.75,4111.5,4261.25,404892,0.0,0.0
4257.75,4329.75,4250.5,4311.25,242309,0.0,0.0
4307.75,4322.0,4263.5,4290.25,264372,0.0,0.0
4275.0,4333.75,4268.0,4323.75,329985,0.0,0.0
4324.0,4348.25,4265.0,4344.75,317019,0.0,0.0
4338.0,4369.25,4324.5,4359.5,208829,0.0,0.0
4355.0,4381.5,4346.25,4375.0,132675,0.0,0.0
4377.0,4390.75,4338.5,4341.25,232729,0.0,0.0
4334.25,4365.25,4317.5,4326.5,284807,0.0,0.0
4335.25,4412.0,4332.5,4411.75,275986,0.0,0.0
4409.75,4439.0,4396.0,4434.75,207248,0.0,0.0
4434.5,4455.5,4411.0,4454.5,202407,0.0,0.0
4451.5,4456.0,4414.0,4424.75,200211,0.0,0.0
4422.75,4456.25,4394.75,4399.25,289766,0.0,0.0
